"org","year","survey","bush","state","edu","age","female","black","weight"
"cbsnyt",1,"9152",0,14,2,3,0,0,1107
"cbsnyt",1,"9152",1,1,2,3,1,0,1130
"cbsnyt",1,"9152",1,14,1,1,0,1,1497
"cbsnyt",1,"9152",0,16,2,3,0,0,554
"cbsnyt",1,"9152",1,10,1,1,1,0,1335
"cbsnyt",1,"9152",0,21,4,2,0,0,389
"cbsnyt",1,"9152",0,33,4,1,1,0,1059
"cbsnyt",1,"9152",1,25,4,2,0,0,389
"cbsnyt",1,"9152",1,39,2,3,0,0,735
"cbsnyt",1,"9152",0,36,2,3,1,0,997
"cbsnyt",1,"9152",1,49,4,1,0,0,1339
"cbsnyt",1,"9152",1,1,1,3,1,1,848
"cbsnyt",1,"9152",1,34,2,1,1,0,1335
"cbsnyt",1,"9152",1,36,3,1,0,0,396
"cbsnyt",1,"9152",0,47,4,2,1,0,700
"cbsnyt",1,"9152",1,34,3,2,0,0,667
"cbsnyt",1,"9152",1,23,3,2,1,0,530
"cbsnyt",1,"9152",NA,50,4,4,1,0,822
"cbsnyt",1,"9152",NA,36,3,2,1,0,265
"cbsnyt",1,"9152",0,10,4,3,0,0,664
"cbsnyt",1,"9152",1,24,2,2,1,0,1057
"cbsnyt",1,"9152",1,19,3,2,0,0,667
"cbsnyt",1,"9152",0,43,2,1,1,0,1335
"cbsnyt",1,"9152",NA,24,1,4,1,0,661
"cbsnyt",1,"9152",NA,26,2,4,0,0,1468
"cbsnyt",1,"9152",0,23,1,4,0,0,1468
"cbsnyt",1,"9152",0,50,1,4,0,0,734
"cbsnyt",1,"9152",1,4,3,2,0,0,667
"cbsnyt",1,"9152",1,34,3,2,0,0,334
"cbsnyt",1,"9152",1,14,4,2,1,0,618
"cbsnyt",1,"9152",1,14,4,1,1,0,532
"cbsnyt",1,"9152",1,15,4,3,0,0,293
"cbsnyt",1,"9152",1,50,2,2,1,0,1057
"cbsnyt",1,"9152",1,25,2,4,1,0,749
"cbsnyt",1,"9152",0,10,4,4,0,0,1035
"cbsnyt",1,"9152",1,16,4,2,1,0,618
"cbsnyt",1,"9152",0,50,2,2,0,0,1761
"cbsnyt",1,"9152",0,44,2,3,1,0,565
"cbsnyt",1,"9152",1,15,4,3,0,0,586
"cbsnyt",1,"9152",1,10,1,1,0,0,1483
"cbsnyt",1,"9152",1,24,2,1,1,0,1767
"cbsnyt",1,"9152",1,18,4,2,1,0,700
"cbsnyt",1,"9152",1,16,2,3,0,0,1107
"cbsnyt",1,"9152",1,16,4,2,0,0,171
"cbsnyt",1,"9152",0,36,2,3,1,0,498
"cbsnyt",1,"9152",0,43,3,1,1,1,607
"cbsnyt",1,"9152",1,18,3,2,1,0,601
"cbsnyt",1,"9152",0,48,3,1,1,0,1102
"cbsnyt",1,"9152",0,17,3,1,1,0,1427
"cbsnyt",1,"9152",1,50,2,3,1,0,1495
"cbsnyt",1,"9152",0,36,4,2,0,0,343
"cbsnyt",1,"9152",1,43,1,2,1,0,2249
"cbsnyt",1,"9152",0,43,4,4,1,0,466
"cbsnyt",1,"9152",1,10,3,4,0,0,423
"cbsnyt",1,"9152",0,36,3,3,0,1,963
"cbsnyt",1,"9152",0,32,1,3,1,0,513
"cbsnyt",1,"9152",0,36,2,1,1,0,1178
"cbsnyt",1,"9152",0,28,3,3,0,0,280
"cbsnyt",1,"9152",1,21,4,2,1,0,700
"cbsnyt",1,"9152",1,43,4,3,1,0,598
"cbsnyt",1,"9152",0,34,2,2,0,0,998
"cbsnyt",1,"9152",1,3,2,1,0,1,1542
"cbsnyt",1,"9152",1,23,2,1,0,0,1963
"cbsnyt",1,"9152",1,15,4,2,0,0,343
"cbsnyt",1,"9152",1,45,1,2,0,0,1513
"cbsnyt",1,"9152",1,1,3,3,1,0,859
"cbsnyt",1,"9152",1,27,2,1,1,0,1213
"cbsnyt",1,"9152",1,47,3,1,1,0,404
"cbsnyt",1,"9152",0,19,3,1,1,1,1213
"cbsnyt",1,"9152",NA,48,3,1,1,0,735
"cbsnyt",1,"9152",0,28,2,3,1,0,498
"cbsnyt",1,"9152",0,36,2,2,0,0,1174
"cbsnyt",1,"9152",1,5,4,3,1,0,272
"cbsnyt",1,"9152",1,14,4,3,0,0,293
"cbsnyt",1,"9152",0,5,4,1,0,1,1393
"cbsnyt",1,"9152",1,36,4,2,1,0,618
"cbsnyt",1,"9152",1,14,3,1,0,0,1980
"cbsnyt",1,"9152",0,47,1,3,1,0,1130
"cbsnyt",1,"9152",0,23,3,1,1,0,713
"cbsnyt",1,"9152",0,5,3,2,0,0,1213
"cbsnyt",1,"9152",0,21,2,4,0,0,2495
"cbsnyt",1,"9152",1,1,2,3,0,0,1255
"cbsnyt",1,"9152",1,23,2,3,1,0,997
"cbsnyt",1,"9152",0,6,3,1,0,0,1224
"cbsnyt",1,"9152",1,45,2,2,1,0,544
"cbsnyt",1,"9152",0,44,2,1,0,0,1483
"cbsnyt",1,"9152",1,3,2,1,1,0,1213
"cbsnyt",1,"9152",1,13,3,1,1,0,735
"cbsnyt",1,"9152",1,36,2,4,1,0,661
"cbsnyt",1,"9152",0,50,4,1,1,0,266
"cbsnyt",1,"9152",0,1,2,2,1,0,1198
"cbsnyt",1,"9152",0,21,4,1,0,0,670
"cbsnyt",1,"9152",0,5,4,2,1,0,318
"cbsnyt",1,"9152",1,5,4,2,0,0,706
"cbsnyt",1,"9152",1,10,4,2,0,0,777
"cbsnyt",1,"9152",1,10,3,1,0,0,1795
"cbsnyt",1,"9152",NA,14,2,2,1,0,1057
"cbsnyt",1,"9152",0,5,2,4,1,0,680
"cbsnyt",1,"9152",0,10,4,1,1,0,603
"cbsnyt",1,"9152",0,35,1,3,1,0,498
"cbsnyt",1,"9152",1,14,4,3,1,0,264
"cbsnyt",1,"9152",1,48,2,2,0,0,1209
"cbsnyt",1,"9152",NA,45,2,3,1,0,513
"cbsnyt",1,"9152",1,23,2,2,0,0,587
"cbsnyt",1,"9152",1,3,2,4,1,0,680
"cbsnyt",1,"9152",1,23,2,1,1,0,1178
"cbsnyt",1,"9152",0,10,3,3,1,1,430
"cbsnyt",1,"9152",1,21,4,3,1,0,897
"cbsnyt",1,"9152",0,32,2,4,1,1,2043
"cbsnyt",1,"9152",1,5,4,1,0,0,913
"cbsnyt",1,"9152",1,23,4,2,1,0,618
"cbsnyt",1,"9152",1,43,3,2,0,0,667
"cbsnyt",1,"9152",0,18,4,3,1,0,598
"cbsnyt",1,"9152",0,48,4,2,1,0,636
"cbsnyt",1,"9152",0,8,4,2,0,0,1166
"cbsnyt",1,"9152",0,48,4,3,0,0,151
"cbsnyt",1,"9152",1,23,2,3,0,0,1107
"cbsnyt",1,"9152",1,21,3,1,0,0,898
"cbsnyt",1,"9152",0,5,3,2,0,0,606
"cbsnyt",1,"9152",1,15,2,2,0,0,1174
"cbsnyt",1,"9152",NA,14,1,4,1,0,1322
"cbsnyt",1,"9152",1,5,3,2,1,0,410
"cbsnyt",1,"9152",1,1,3,3,1,0,572
"cbsnyt",1,"9152",1,44,2,2,0,0,1330
"cbsnyt",1,"9152",1,6,3,3,1,0,260
"cbsnyt",1,"9152",1,5,2,1,1,0,1213
"cbsnyt",1,"9152",0,24,4,1,0,0,1182
"cbsnyt",1,"9152",1,17,4,2,0,0,686
"cbsnyt",1,"9152",1,5,3,2,1,0,1092
"cbsnyt",1,"9152",0,6,4,2,1,0,318
"cbsnyt",1,"9152",1,25,2,3,1,0,565
"cbsnyt",1,"9152",1,5,3,2,1,0,273
"cbsnyt",1,"9152",0,51,1,3,0,0,1140
"cbsnyt",1,"9152",0,16,3,2,1,0,530
"cbsnyt",1,"9152",1,25,1,4,0,0,1663
"cbsnyt",1,"9152",1,49,1,2,0,0,1665
"cbsnyt",1,"9152",1,19,3,3,1,0,286
"cbsnyt",1,"9152",0,5,3,2,1,0,546
"cbsnyt",1,"9152",0,5,1,1,1,0,607
"cbsnyt",1,"9152",1,48,2,1,0,0,1347
"cbsnyt",1,"9152",1,21,2,1,0,0,2224
"cbsnyt",1,"9152",0,10,2,4,0,0,1663
"cbsnyt",1,"9152",0,18,1,4,1,0,749
"cbsnyt",1,"9152",0,21,4,2,1,0,350
"cbsnyt",1,"9152",0,47,4,1,1,0,302
"cbsnyt",1,"9152",0,14,2,2,0,0,1761
"cbsnyt",1,"9152",0,36,2,2,0,1,1343
"cbsnyt",1,"9152",0,41,2,4,1,0,749
"cbsnyt",1,"9152",1,33,2,3,0,1,3362
"cbsnyt",1,"9152",1,5,4,2,0,0,353
"cbsnyt",1,"9152",1,16,3,3,0,0,841
"cbsnyt",1,"9152",1,10,2,1,1,0,2670
"cbsnyt",1,"9152",1,11,2,2,0,1,3044
"cbsnyt",1,"9152",1,36,2,4,0,0,1468
"cbsnyt",1,"9152",0,33,4,3,1,0,1751
"cbsnyt",1,"9152",1,39,2,2,1,0,701
"cbsnyt",1,"9152",1,1,2,1,1,0,1335
"cbsnyt",1,"9152",1,36,1,3,1,0,997
"cbsnyt",1,"9152",1,22,2,3,1,0,2646
"cbsnyt",1,"9152",1,31,2,2,1,0,1403
"cbsnyt",1,"9152",1,33,3,2,0,0,781
"cbsnyt",1,"9152",0,44,2,1,1,0,1335
"cbsnyt",1,"9152",1,14,2,2,1,0,1057
"cbsnyt",1,"9152",1,44,3,2,1,0,300
"cbsnyt",1,"9152",1,3,3,3,1,0,520
"cbsnyt",1,"9152",0,39,3,3,1,1,1006
"cbsnyt",1,"9152",0,36,4,3,0,0,879
"cbsnyt",1,"9152",0,7,2,1,0,0,4341
"cbsnyt",1,"9152",1,39,3,4,1,0,893
"cbsnyt",1,"9152",1,31,2,2,1,0,701
"cbsnyt",1,"9152",1,7,2,2,0,0,1558
"cbsnyt",1,"9152",1,10,2,3,0,0,1255
"cbsnyt",1,"9152",0,49,2,4,0,0,2495
"cbsnyt",1,"9152",0,22,3,3,0,0,744
"cbsnyt",1,"9152",1,33,2,2,0,0,1558
"cbsnyt",1,"9152",1,39,2,2,0,0,779
"cbsnyt",1,"9152",1,22,3,3,0,0,744
"cbsnyt",1,"9152",0,7,4,3,0,0,1167
"cbsnyt",1,"9152",0,33,4,2,1,0,205
"cbsnyt",1,"9152",0,16,3,2,0,0,589
"cbsnyt",1,"9152",NA,31,2,3,1,0,661
"cbsnyt",1,"9152",1,5,3,3,1,0,1040
"cbsnyt",1,"9152",1,33,4,1,0,0,2353
"cbsnyt",1,"9152",1,39,4,1,0,0,784
"cbsnyt",1,"9152",1,44,4,1,0,0,670
"cbsnyt",1,"9152",0,33,4,2,1,0,820
"cbsnyt",1,"9152",1,10,2,1,1,0,1335
"cbsnyt",1,"9152",1,33,2,3,0,0,2204
"cbsnyt",1,"9152",1,43,4,3,1,0,1196
"cbsnyt",1,"9152",1,23,2,4,1,0,661
"cbsnyt",1,"9152",NA,31,1,3,0,0,3673
"cbsnyt",1,"9152",NA,33,2,3,1,0,1984
"cbsnyt",1,"9152",0,39,3,2,1,0,704
"cbsnyt",1,"9152",0,33,1,1,0,0,5209
"cbsnyt",1,"9152",0,39,3,1,0,0,1051
"cbsnyt",1,"9152",1,20,4,1,0,0,784
"cbsnyt",1,"9152",0,33,4,3,0,0,583
"cbsnyt",1,"9152",0,50,4,3,1,0,264
"cbsnyt",1,"9152",0,39,2,1,0,0,1736
"cbsnyt",1,"9152",0,33,2,3,0,0,1469
"cbsnyt",1,"9152",0,7,2,2,0,0,779
"cbsnyt",1,"9152",1,34,2,1,1,0,668
"cbsnyt",1,"9152",1,33,4,2,1,0,410
"cbsnyt",1,"9152",0,22,2,1,0,0,4341
"cbsnyt",1,"9152",1,4,2,2,1,0,1198
"cbsnyt",1,"9152",1,39,2,3,1,0,661
"cbsnyt",1,"9152",1,36,2,4,1,0,661
"cbsnyt",1,"9152",1,31,4,3,1,0,701
"cbsnyt",1,"9152",NA,31,3,3,0,0,744
"cbsnyt",1,"9152",NA,37,2,1,0,0,1483
"cbsnyt",1,"9152",1,17,2,3,1,0,997
"cbsnyt",1,"9152",0,19,3,3,1,0,859
"cbsnyt",1,"9152",0,23,4,4,1,0,411
"cbsnyt",1,"9152",1,23,3,3,0,0,561
"cbsnyt",1,"9152",0,38,4,1,0,0,913
"cbsnyt",1,"9152",1,33,1,4,0,0,1948
"cbsnyt",1,"9152",1,1,4,3,1,0,598
"cbsnyt",1,"9152",0,33,3,4,1,0,446
"cbsnyt",1,"9152",0,31,3,3,1,0,670
"cbsnyt",1,"9152",0,40,2,4,1,0,1754
"cbsnyt",1,"9152",0,39,2,3,1,0,1323
"cbsnyt",1,"9152",1,39,4,2,1,0,820
"cbsnyt",1,"9152",0,31,4,3,1,0,350
"cbsnyt",1,"9152",0,23,2,3,1,0,498
"cbsnyt",1,"9152",1,14,3,1,0,0,1188
"cbsnyt",1,"9152",1,44,2,4,1,0,749
"cbsnyt",1,"9152",0,22,2,3,1,0,661
"cbsnyt",1,"9152",0,23,3,2,1,0,530
"cbsnyt",1,"9152",1,18,3,1,1,0,1213
"cbsnyt",1,"9152",0,47,1,4,1,1,1124
"cbsnyt",1,"9152",0,36,2,4,1,0,1322
"cbsnyt",1,"9152",0,7,2,3,1,0,1984
"cbsnyt",1,"9152",0,22,2,2,0,0,779
"cbsnyt",1,"9152",0,33,4,3,1,0,350
"cbsnyt",1,"9152",0,39,3,1,1,0,947
"cbsnyt",1,"9152",0,45,2,1,1,0,1213
"cbsnyt",1,"9152",1,50,2,4,1,1,1983
"cbsnyt",1,"9152",0,33,3,3,1,0,670
"cbsnyt",1,"9152",1,39,4,3,0,0,778
"cbsnyt",1,"9152",0,26,3,3,0,1,642
"cbsnyt",1,"9152",1,14,3,4,1,0,673
"cbsnyt",1,"9152",0,7,4,1,0,0,784
"cbsnyt",1,"9152",NA,10,2,2,0,0,665
"cbsnyt",1,"9152",NA,39,2,3,1,0,661
"cbsnyt",1,"9152",1,17,2,1,1,0,1178
"cbsnyt",1,"9152",1,10,4,1,1,0,302
"cbsnyt",1,"9152",0,22,2,1,1,0,782
"cbsnyt",1,"9152",0,14,2,2,0,0,1174
"cbsnyt",1,"9152",1,31,4,1,1,0,706
"cbsnyt",1,"9152",1,33,1,3,1,0,661
"cbsnyt",1,"9152",0,50,1,3,1,0,997
"cbsnyt",1,"9152",NA,11,4,2,1,0,700
"cbsnyt",1,"9152",1,48,4,2,0,0,706
"cbsnyt",1,"9152",NA,10,4,4,1,0,466
"cbsnyt",1,"9152",1,44,2,2,0,1,3044
"cbsnyt",1,"9152",1,42,3,4,1,0,336
"cbsnyt",1,"9152",0,39,2,3,1,0,2646
"cbsnyt",1,"9152",1,1,2,2,1,0,1198
"cbsnyt",1,"9152",0,22,4,2,1,0,410
"cbsnyt",1,"9152",0,15,2,2,0,0,587
"cbsnyt",1,"9152",NA,26,1,4,1,0,1322
"cbsnyt",1,"9152",1,22,2,2,0,0,1558
"cbsnyt",1,"9152",0,33,4,4,1,0,1091
"cbsnyt",1,"9152",0,43,2,3,0,0,1882
"cbsnyt",1,"9152",0,14,3,2,1,0,530
"cbsnyt",1,"9152",1,31,4,1,0,0,392
"cbsnyt",1,"9152",NA,41,4,1,1,1,905
"cbsnyt",1,"9152",1,26,3,1,0,0,1188
"cbsnyt",1,"9152",0,23,3,4,1,0,336
"cbsnyt",1,"9152",0,50,4,2,1,0,618
"cbsnyt",1,"9152",0,50,3,2,0,0,294
"cbsnyt",1,"9152",0,39,1,3,0,1,3362
"cbsnyt",1,"9152",1,35,3,2,0,0,294
"cbsnyt",1,"9152",1,15,3,2,1,0,530
"cbsnyt",1,"9152",1,44,4,3,0,0,664
"cbsnyt",1,"9152",1,26,4,2,0,0,686
"cbsnyt",1,"9152",1,19,1,3,0,0,1255
"cbsnyt",1,"9152",0,15,2,2,0,0,1174
"cbsnyt",1,"9152",1,39,4,1,0,0,784
"cbsnyt",1,"9152",0,25,2,1,1,1,5010
"cbsnyt",1,"9152",1,31,2,4,1,0,877
"cbsnyt",1,"9152",0,26,4,4,1,0,1234
"cbsnyt",1,"9152",1,22,4,2,1,0,410
"cbsnyt",1,"9152",1,50,3,2,1,0,530
"cbsnyt",1,"9152",0,14,3,2,1,0,530
"cbsnyt",1,"9152",0,15,2,1,0,0,1308
"cbsnyt",1,"9152",1,14,4,3,1,0,396
"cbsnyt",1,"9152",NA,24,2,3,1,0,997
"cbsnyt",1,"9152",1,36,2,1,1,0,1178
"cbsnyt",1,"9152",1,47,1,3,1,0,1130
"cbsnyt",1,"9152",1,23,4,3,1,0,792
"cbsnyt",1,"9152",1,23,2,2,1,0,1057
"cbsnyt",1,"9152",1,15,3,1,0,0,1584
"cbsnyt",1,"9152",NA,26,1,2,0,0,1469
"cbsnyt",1,"9152",NA,21,2,4,1,0,749
"cbsnyt",1,"9152",1,15,4,1,0,0,591
"cbsnyt",1,"9152",1,34,3,2,1,0,601
"cbsnyt",1,"9152",1,17,4,3,0,0,440
"cbsnyt",1,"9152",1,24,2,4,0,0,734
"cbsnyt",1,"9152",1,50,2,1,0,0,1308
"cbsnyt",1,"9152",1,14,2,1,0,0,1963
"cbsnyt",1,"9152",0,15,4,2,0,0,1029
"cbsnyt",1,"9152",1,26,2,2,0,0,1174
"cbsnyt",1,"9152",1,31,4,2,1,0,410
"cbsnyt",1,"9152",1,44,3,3,0,0,318
"cbsnyt",1,"9152",NA,23,3,2,0,0,1178
"cbsnyt",1,"9152",0,23,2,2,0,0,587
"cbsnyt",1,"9152",0,4,2,2,0,0,1330
"cbsnyt",1,"9152",1,14,4,3,0,0,586
"cbsnyt",1,"9152",1,37,2,1,1,0,1335
"cbsnyt",1,"9152",0,17,3,4,1,0,336
"cbsnyt",1,"9152",0,36,2,3,0,0,1107
"cbsnyt",1,"9152",1,7,4,1,0,0,392
"cbsnyt",1,"9152",0,23,4,2,1,0,309
"cbsnyt",1,"9152",1,23,3,3,0,0,561
"cbsnyt",1,"9152",1,17,2,2,0,0,1174
"cbsnyt",1,"9152",1,41,2,3,1,0,3389
"cbsnyt",1,"9152",1,17,4,1,1,0,532
"cbsnyt",1,"9152",0,5,1,3,0,0,1140
"cbsnyt",1,"9152",0,24,2,1,1,0,1178
"cbsnyt",1,"9152",0,14,4,2,1,0,1235
"cbsnyt",1,"9152",0,23,3,2,0,0,589
"cbsnyt",1,"9152",1,14,4,2,0,0,686
"cbsnyt",1,"9152",1,36,3,1,0,0,792
"cbsnyt",1,"9152",0,21,2,1,1,1,1002
"cbsnyt",1,"9152",1,34,3,3,0,0,636
"cbsnyt",1,"9152",0,22,4,1,1,0,706
"cbsnyt",1,"9152",NA,26,3,3,1,1,379
"cbsnyt",1,"9152",0,14,3,3,0,1,642
"cbsnyt",1,"9152",0,14,2,2,0,0,1174
"cbsnyt",1,"9152",0,36,4,2,1,0,309
"cbsnyt",1,"9152",1,44,4,2,1,0,700
"cbsnyt",1,"9152",1,10,4,2,0,0,389
"cbsnyt",1,"9152",1,47,1,1,0,0,1483
"cbsnyt",1,"9152",1,44,3,2,1,0,601
"cbsnyt",1,"9152",1,11,2,2,1,0,1198
"cbsnyt",1,"9152",1,1,2,3,0,0,1255
"cbsnyt",1,"9152",1,50,1,2,1,1,1985
"cbsnyt",1,"9152",1,16,3,4,0,0,373
"cbsnyt",1,"9152",1,26,4,2,0,0,686
"cbsnyt",1,"9152",1,1,3,1,1,1,607
"cbsnyt",1,"9152",1,14,2,3,1,0,498
"cbsnyt",1,"9152",1,36,4,1,1,1,799
"cbsnyt",1,"9152",NA,22,4,2,1,0,820
"cbsnyt",1,"9152",1,44,2,2,1,0,1198
"cbsnyt",1,"9152",0,14,2,2,0,0,1174
"cbsnyt",1,"9152",NA,41,4,2,0,1,1779
"cbsnyt",1,"9152",0,10,2,4,1,0,1498
"cbsnyt",1,"9152",1,42,1,4,0,0,734
"cbsnyt",1,"9152",1,26,1,4,1,0,1322
"cbsnyt",1,"9152",0,21,1,2,1,1,2250
"cbsnyt",1,"9152",1,37,2,2,1,0,1198
"cbsnyt",1,"9152",NA,10,2,4,1,0,749
"cbsnyt",1,"9152",1,18,2,2,1,0,599
"cbsnyt",1,"9152",NA,26,4,2,1,0,618
"cbsnyt",1,"9152",1,44,4,1,1,0,603
"cbsnyt",1,"9152",0,14,3,2,1,0,265
"cbsnyt",1,"9152",1,15,4,1,0,0,886
"cbsnyt",1,"9152",0,19,4,4,0,0,1035
"cbsnyt",1,"9152",0,49,4,1,1,0,603
"cbsnyt",1,"9152",1,17,2,3,0,0,1107
"cbsnyt",1,"9152",1,19,2,3,0,0,1255
"cbsnyt",1,"9152",1,19,3,2,1,0,601
"cbsnyt",1,"9152",1,14,3,3,0,0,841
"cbsnyt",1,"9152",1,36,4,3,0,0,879
"cbsnyt",1,"9152",1,16,4,2,0,0,343
"cbsnyt",1,"9152",1,42,1,4,1,0,661
"cbsnyt",1,"9152",1,23,3,2,1,0,795
"cbsnyt",1,"9152",1,25,1,2,0,0,1665
"cbsnyt",1,"9152",1,17,1,2,0,0,1469
"cbsnyt",1,"9152",0,43,1,4,1,0,749
"cbsnyt",1,"9152",0,4,2,1,1,0,1335
"cbsnyt",1,"9152",0,11,3,1,1,1,1213
"cbsnyt",1,"9152",1,11,4,3,1,0,598
"cbsnyt",1,"9152",1,44,4,2,1,0,700
"cbsnyt",1,"9152",1,49,4,2,1,0,350
"cbsnyt",1,"9152",0,18,2,4,1,0,749
"cbsnyt",1,"9152",1,1,3,3,1,0,572
"cbsnyt",1,"9152",1,24,2,4,1,0,661
"cbsnyt",1,"9152",1,4,4,2,1,0,700
"cbsnyt",1,"9152",1,25,3,2,1,0,300
"cbsnyt",1,"9152",1,49,2,1,1,0,2003
"cbsnyt",1,"9152",1,14,2,1,1,0,1178
"cbsnyt",1,"9152",1,32,2,3,0,0,1140
"cbsnyt",1,"9152",1,36,3,2,1,0,795
"cbsnyt",1,"9152",1,44,2,2,1,0,599
"cbsnyt",1,"9152",1,44,4,2,1,0,700
"cbsnyt",1,"9152",0,11,3,3,0,0,636
"cbsnyt",1,"9152",0,43,1,2,1,0,2249
"cbsnyt",1,"9152",1,18,3,2,0,0,667
"cbsnyt",1,"9152",NA,24,2,4,1,0,1982
"cbsnyt",1,"9152",NA,11,1,1,0,0,2965
"cbsnyt",1,"9152",NA,44,3,1,0,0,224
"cbsnyt",1,"9152",1,14,2,3,1,0,498
"cbsnyt",1,"9152",1,50,2,3,1,0,997
"cbsnyt",1,"9152",1,44,4,2,1,0,1050
"cbsnyt",1,"9152",1,19,4,2,1,0,700
"cbsnyt",1,"9152",1,5,2,3,0,0,1140
"cbsnyt",1,"9152",1,44,4,2,0,0,777
"cbsnyt",1,"9152",0,5,4,3,0,0,604
"cbsnyt",1,"9152",1,3,3,2,0,0,606
"cbsnyt",1,"9152",0,44,3,1,1,0,808
"cbsnyt",1,"9152",1,25,4,2,0,0,777
"cbsnyt",1,"9152",1,1,3,2,1,1,902
"cbsnyt",1,"9152",0,18,2,3,1,0,565
"cbsnyt",1,"9152",0,44,2,3,0,0,1882
"cbsnyt",1,"9152",NA,5,3,3,1,0,520
"cbsnyt",1,"9152",0,5,2,1,1,0,607
"cbsnyt",1,"9152",0,6,4,3,0,0,604
"cbsnyt",1,"9152",0,26,2,2,0,0,1174
"cbsnyt",1,"9152",0,6,4,1,1,0,1096
"cbsnyt",1,"9152",0,50,3,1,1,0,713
"cbsnyt",1,"9152",1,38,4,1,1,0,274
"cbsnyt",1,"9152",0,24,2,3,1,0,498
"cbsnyt",1,"9152",0,1,4,2,0,0,777
"cbsnyt",1,"9152",1,25,2,3,1,0,1130
"cbsnyt",1,"9152",0,5,2,4,1,0,680
"cbsnyt",1,"9152",0,5,3,3,0,0,289
"cbsnyt",1,"9152",0,48,1,2,1,0,1362
"cbsnyt",1,"9152",NA,17,2,2,0,0,587
"cbsnyt",1,"9152",1,5,3,3,0,0,433
"cbsnyt",1,"9152",1,5,4,2,0,0,706
"cbsnyt",1,"9152",0,45,4,2,1,0,636
"cbsnyt",1,"9152",1,5,4,1,0,0,304
"cbsnyt",1,"9152",0,48,4,2,0,0,706
"cbsnyt",1,"9152",1,5,3,1,1,0,735
"cbsnyt",1,"9152",1,5,3,2,1,0,546
"cbsnyt",1,"9152",1,6,3,2,0,0,606
"cbsnyt",1,"9152",1,5,2,3,0,1,3913
"cbsnyt",1,"9152",0,5,4,2,0,0,353
"cbsnyt",1,"9152",NA,5,4,1,1,0,274
"cbsnyt",1,"9152",NA,5,2,2,0,1,2766
"cbsnyt",1,"9152",1,5,3,3,1,0,390
"cbsnyt",1,"9152",1,5,3,1,0,0,1224
"cbsnyt",1,"9152",0,5,4,2,0,0,706
"cbsnyt",1,"9152",0,5,2,2,1,0,1088
"cbsnyt",1,"9152",0,5,1,2,1,0,1362
"cbsnyt",1,"9152",1,48,2,3,0,0,2280
"cbsnyt",1,"9152",1,5,4,4,1,0,423
"cbsnyt",1,"9152",1,3,4,2,0,0,706
"cbsnyt",1,"9152",1,6,2,4,0,0,1511
"cbsnyt",1,"9152",0,5,4,3,1,0,272
"cbsnyt",1,"9152",1,5,1,4,1,0,680
"cbsnyt",1,"9152",1,32,1,2,0,0,1513
"cbsnyt",1,"9152",0,13,3,3,0,0,578
"cbsnyt",1,"9152",1,38,2,4,0,0,1511
"cbsnyt",1,"9152",1,5,4,1,1,0,274
"cbsnyt",1,"9152",1,45,4,2,1,0,636
"cbsnyt",1,"9152",1,48,3,1,1,0,735
"cbsnyt",1,"9152",0,5,4,2,0,0,353
"cbsnyt",1,"9152",1,5,4,4,0,0,470
"cbsnyt",1,"9152",0,5,1,3,0,0,570
