city,company,salary,summary,title,parsed_salary
Seattle,Department of the Navy,"$38,517 - $50,070 a year","Utilizing ophthalmic prescription ordering forms, and the necessary data to ensure order completeness of all vision tests, glasses, and exams....",Health Technician (Optometry),44293.5
Seattle,King County,"$71,510 - $90,646 a year","Conduct comprehensive data and project review of Trace Organics' analytical data including:. Checks for completeness, calculation accuracy, data interpretation,...",Trace Organics - Environmental Lab Scientist II,81078.0
Seattle,State of Washington,"$61,920 - $81,264 a year",Evaluates data quality. MEL is looking for candidates that have a strong technical understanding of environmental laboratory data and data validation;...,Quality Assurance Coordinator (Chemist 4) (In-Training),71592.0
Seattle,Department Of Veterans Affairs,"$75,925 - $98,702 a year","Primary LIM Support focus will be Central Lab, Reference Lab, Data Innovations, Ancillary Testing, and Anatomic Pathology with a secondary focus in Blood Bank,...",Medical Technologist (Laboratory Information Manager),87313.5
Seattle,Washington State Government,"$61,920 - $81,264 a year",Evaluates data quality. MEL is looking for candidates that have a strong technical understanding of environmental laboratory data and data validation;...,Quality Assurance Coordinator (Chemist 4) (In-Training),71592.0
Seattle,Arne Software,$100 a day,"The successful candidate MUST have a PhD in Statistics, Mathematics, Physics, or Computer Science and MUST have at least ten years’ experience as a data...",Data Scientist,
Seattle,Department Of Veterans Affairs,"$51,987 - $67,833 a year","Skilled in informatics, laboratory data flow and the understanding of laboratory processes. All candidates must currently possess or be eligible for and pass...",Medical Technologist,59910.0
Seattle,"Job Brokers, Inc.","$70,000 - $90,000 a year","The role will be responsible for providing direction and training to employees (managers, process and design engineers, technicians and scientists) on...",Document Control Manager,80000.0
Philadelphia,Juno Search Partners,"$40,000 a year",We are working with a provider of real estate and mortgage services who is looking to hire a Data Scientist. Understanding of real-time data systems and metrics...,Data Scientist- Entry Level,40000.0
Philadelphia,Jobspring Partners,"$135,000 - $165,000 a year",The ideal candidate should also have experience working with a variety of data sources and working knowledge of data analysis algorithms....,Lead Data Scientist,150000.0
Philadelphia,TEEMA Solutions Group,"$150,000 a year",Our Big Data Engineer should be able to develop prototypes and proof of concepts for the selected solutions and work with our Data Scientists to ensure data is...,Big Data Engineer | Remote | Mature Start-up,150000.0
Philadelphia,All-In Analytics,"$100,000 - $120,000 a year","Risk Data Scientist. Help design data management infrastructure. Data mining, analysis, and optimization of decisions....",Risk Data Scientist,110000.0
Philadelphia,"Aavalar Consulting, Inc.","$125,000 a year",Data Architect / Data Scientist. Designthe data architecture. Hands on experienceusing Big Data and/or unstructure data for real world applications....,Data Architect / Data Scientist,125000.0
Philadelphia,Analytic Recruiting,"$90,000 a year",Statistical Analyst with financial services analytics background needed by provider of consultative services to the healthcare industry to analyze large,Statistical Analyst,90000.0
Philadelphia,The McManness Group,"$90,000 - $130,000 a year",Apply complex statistical methods and analyze clinical study data. Job req ID:....,Principal Statistician,110000.0
Philadelphia,TEEMA Solutions Group,"$150,000 a year","You will work with Data Scientists to ensure data availability for analysis, tune query performance and Data Science tool integration approaches....",Senior DevOps Engineer | Remote | Mature Start-up,150000.0
Philadelphia,"Philadelphia Works, Inc.","$52,000 - $60,000 a year","Make data actionable for programs. This team-based position does in-depth reporting from program data, builds databases combining government and program sources...",Senior Research Analyst,56000.0
Philadelphia,International Flavors,"$60,000 a year","PRODUCT DEVELOPMENT SCIENTIST*. Formulations, specifications, nutritional information, product data sheets, certifications, labels, costing, etc.)....",PRODUCT DEVELOPMENT SCIENTIST - Flavors,60000.0
Philadelphia,JUNO Search Partners,"$120,000 a year","Their academic platform helps answer questions around data sharing and analysis, helping scientists and medical professionals make better decisions within...",Java Software Engineer,120000.0
Palo+Alto,"NextDeavor, Inc.","$150,000 a year",Data analysis and statistics. Ad hoc data analysis as well as production quality data analysis code. We are looking to build our Data Science team....,Sr. Data Scientist,150000.0
Palo+Alto,Jobspring Partners,"$150,000 - $180,000 a year",They are looking for a Senior Data Scientist to build data systems and pipelines to support the data infrastructure team....,Senior Data Scientist,165000.0
Palo+Alto,Emerald Resource Group,"$150,000 a year",You must be extremely software and data driven. Working with Custom Algorithms with a focus on Data Analytics....,Quantitative Analyst,150000.0
Palo+Alto,Intechriti,"$160,000 a year","Requirements for Data Scientist, Data Analyst, Machine Learning Engineer*. So, if you are a Data Scientist, Data Engineer, Data Analyst with Machine Learning...",Data Scientist (Advanced Machine Learning),160000.0
Palo+Alto,TERADEEP INC.,"$40,000 - $80,000 a year",Large Scale Data Extraction and Preparation. Your work will be hosted on our proprietary FPGA-based servers and made visible to hyperscale data centers across...,Machine Learning / Deep Learning Internship(s),60000.0
Palo+Alto,"NextDeavor, Inc.","$150,000 a year","Director, Data Science. Write software to clean and investigate large, messy data sets of numerical and textual data....","Director, Data Science",150000.0
Palo+Alto,Jobspring Partners,"$150,000 - $180,000 a year",They are looking for a strong data science with experience in Scala. They are using data science and predictive analysis to create the most cost effective...,Data Scientist,165000.0
Palo+Alto,"Bloom Consulting Services, LLC.","$110,000 a year","Position: Data Scientist (Modeler) Duration: Full Time Location: San Jose, CA Job Description:  -Need someone with strong Stats (Phd or Masters),...",Data Scientist (Modeler),110000.0
Palo+Alto,Pullskill Technologies,"$120,000 a year",Lead Data Scientist Recruiter*. Data Scientist – SWE Team. Data Scientist (Software Engineering) – Advance Analytics*. Big Data & ML....,Data Scientist (Software Engineering),120000.0
Palo+Alto,Talent Compliance Consulting Services,"$100,000 a year",Strong data analysis skills including setting specifications and monitoring reagent/kit lot performance....,Quality Control Scientist,100000.0
Palo+Alto,Zamplus Technology,"$70,000 a year","Boosting,Random Forests, and other Ensemble Methods 3/ Strong implementation experience with Python, C++, Matlab 4/Familiarity with Linux/Unix/Shell...",Machine Learning and Data Scientist,70000.0
Palo+Alto,National Aeronautics and Space Administration,"$100,246 - $130,325 a year","He/she generates and interprets nucleic acid sequence data and places that interpretation within environmental, ecological, or evolutionary context....","Research Physical Scientist, AST, Chemical and Biological Ev...",115285.5
Palo+Alto,Brilent,"$150,000 a year","The Brilent team brings together deep experience in machine learning, and data science from leading edge companies to solve the growing problem of leveraging...",Senior NLP Scientist/Engineer,150000.0
Palo+Alto,Pull Skill Technologies Inc,"$10,000 a year","Work with Data Scientists and statisticians to help them implement their algorithms, efficiently, into the targeting engine....",Big Data Engineer (Software Engineering) – Analytics,10000.0
Palo+Alto,"Bloom Consulting Services, LLC.","$115,000 a year","Position: Data Scientist (Big Data) Duration: Full Time Location: San Jose, CA Job Discription:  -Need someone with Stats, Machine learning, Hive / PIG...",Data Scientist (Big Data),115000.0
Palo+Alto,Corporate Labs Technology,"$110,000 - $180,000 a year","Natural Language Processing Brisbane, CA Sign on bonus Stocks! Up to 10% bonuses $110-180k depending on experience Fast growing social media company is",Data Scientist (Natural Language Processing),145000.0
Palo+Alto,TERADEEP INC.,"$120,000 - $160,000 a year",Large Scale Data Extraction and Preparation. Develops Deep Learning HW & SW Acceleration solutions for datacenter applications....,STAFF DATA SCIENTIST / DEEP LEARNING,140000.0
Palo+Alto,"NextDeavor, Inc.","$150,000 a year",Work closely with a team of data scientists to productize machine learning algorithms. Our real-time SaaS platform leverages data and analytics to bring new...,Tech Lead Full-Stack Engineer,150000.0
Palo+Alto,Corporate Labs Technology,"$110,000 - $180,000 a year","Machine Learning Developer Brisbane, CA Sign on bonus Stocks! Up to 10% bonuses $110-180k depending on experience Fast growing social media company is",Data Scientist (Machine Learning),145000.0
Palo+Alto,Brilent,"$130,000 a year","Perform large-scale data analysis, find interesting patterns and translate them into product improvements. We are building the next-generation, big data talent...",Senior Data Scientist,130000.0
Palo+Alto,Department Of The Interior,"$58,132 - $91,433 a year","Implement, manage and maintain the Earthquake Monitoring Project's (EMP) system of satellite ground stations for telemetry of real-time seismic data....","Electronics Technician, GS-0856-09/10/11 (DEU-Perm-YMJ) (Rad...",74782.5
Palo+Alto,Jobspring Partners,"$160,000 - $180,000 a year",They are looking for a Data Scientist to build and work with their data systems and data pipelines to help make sense of and understand the massive amounts of...,Software Engineer-Data Scientist,170000.0
Palo+Alto,BullsEye Hire Sales Recruiting Firm,"$40,000 a year","Our client is looking for a Research Analyst to help support our fast-growing and highly respected worldwide market intelligence services, focused on the IT",Research Analyst for Tech Industry,40000.0
Palo+Alto,Workbridge Associates,"$120,000 - $140,000 a year",Our team is looking for a UI Engineer to make data exploration quick and beautiful for data scientists and business analysts....,Front-End Engineer,130000.0
Palo+Alto,Jobspring Partners,"$110,000 - $150,000 a year",Our Client is a Silicon Valley Startup That creates 3D Human Computing Interaction Hardware and Software for AR and VR experiences. They’re innovators in,Lead Computer Vision Scientist (AR/VR | R&D | Machine Learni...,130000.0
Palo+Alto,Bullis Charter School,"$48,300 - $110,000 a year","Is a risk-taker and is constantly improving his/her instruction in order to develop scientists, not just students who do science....",Middle School Science Teacher Certificated Staff,79150.0
Palo+Alto,Telomere Diagnostics Inc,"$42,000 a year","Summarizing and presenting data, extensive use of EXCEL and other statistical programs. The following duties must be performed under the direct and constant...",Clinical Laboratory Assistant,42000.0
Pittsburgh,Carnegie Mellon University,"$35,595 - $64,070 a year","Algorithms and data structures, and the application of state-of-the-art. For developing experimental research applications and modifying existing....","Research Programmer/Analyst, Robotics Institute",49832.5
Pittsburgh,The University of Pittsburgh,"$34,476 - $55,848 a year",Knowledge of computer data management systems and software packages for analyzing data ( SAS and SPSS preferred)....,Senior Statistician,45162.0
Pittsburgh,The University of Pittsburgh,"$20,592 - $32,292 a year","Cell culture, RNA and DNA , data analysis. Training in all relevant procedures will be conducted by experienced scientists within the research group....",Research Technician,26442.0
Pittsburgh,The University of Pittsburgh,"$30,264 - $48,516 a year","Script in UNIX , Matlab, and other computing environments to facilitate data transfer and multivariate data analysis routines;...",Program Statistician,39390.0
Pittsburgh,Carnegie Mellon University,"$30,183 - $55,264 a year","Draft memos, schedule meetings, organize data, process reports, and plan meetings/seminars. Help with the coordination of the Data Analysis Project requirements...","Masters Program Coordinator, Machine Learning Department (SC...",42723.5
Pittsburgh,The University of Pittsburgh,"$23,400 - $37,128 a year","Will maintain computer files and manage data. The department has a mission of training students, post doctoral fellows, physicians and other young scientists to...",Research Specialist,30264.0
Pittsburgh,The University of Pittsburgh,"$18,252 - $28,392 a year","Expertise with Mac and PC computer formats, word processing, data base and spread sheet packages. Their research interests span the breadth of neuroscience, and...",CNUP Assistant,23322.0
Pittsburgh,The University of Pittsburgh,"$23,400 - $37,128 a year",Compiling data dictionaries and documenting modifications to data; Performing statistical data analyses; Organizing data collection instruments and providing...,Research Data Analyst,30264.0
Pittsburgh,The University of Pittsburgh,"$45,864 - $75,192 a year","Projects involve working with high-performance computing systems, analysis of data, data visualization, and report generation....",Systems Programmer,60528.0
Miami,Bradsby Group,"$95,000 - $105,000 a year",Analyze data and provide recommendations regarding future work. Effectively coordinate with internal/external technical resources and chemical professionals to...,Senior Scientist,100000.0
Miami,University of Miami,"$38,750 - $62,000 a year","The University of Miami is considered among the top tier institutions of higher education in the U.S. for its academic excellence, superior medical care, and",(Per-Diem) Research Analyst,50375.0
Miami,Nigel Frank International Limited,"$100,000 - $115,000 a year","Data Scientist - Fort Lauderdale, Florida - $115K. A major healthcare company in the Fort Lauderdale region is looking to bring on a Data Scientist!...","Data Scientist - Fort Lauderdale, Florida - $115K",107500.0
Miami,University of Miami,"$32,900 a year","Record and evaluate data in accordance with methods requested. Animal Husbandry, maintenance of animal colony, breeding, weaning, tail clipping, genotyping...",Research Associate 1,32900.0
Miami,Panacea,"$85,000 a year",We are seeking to fill a data analytics / data scientist role on our team. Data Analyst needed for a 2 month Contract to hire role right away!!*....,Data Analyst,85000.0
Miami,Smith Hanley Associates,"$75,000 - $95,000 a year","Conduct analysis of business data to present insights. Execute operations research projects, manage data requirements, strategy, and delivery of results....",Senior Operations Research Analyst,85000.0
Chicago,Hirewell,"$85,000 a year","Practical ability to visualize data, communicate about the data and utilize it effectively. You will be addressing challenging data science problems by...",Data Scientist,85000.0
Chicago,Workbridge Associates,"$80,000 - $110,000 a year",Big data with Hadoop is a plus. A well-respected healthcare corporation that spun off of a major hospital and university is hiring for a Mid-Level Data...,Data Scientist,95000.0
Chicago,Etech Hi Inc.,"$85,000 a year","Experience with medical or clinical data is a plus. Oversee all program analytics including risk adjusted benchmark reports, external data validation,...",Sr. Statistician,85000.0
Chicago,Seeking Alpha Search International,"$110,000 - $200,000 a year","Working with data validation members and information technology professionals to determine model data integrity. Seeking Alpha Search International, Inc....",QUANTITATIVE MODEL VALIDATION ANALYST,155000.0
Chicago,Workbridge Associates,"$120,000 - $160,000 a year",A startup located right downtown that helps analyze consumer shopping trends and data is looking for a Senior Data Scientist to join a growing team....,Senior Data Scientist,140000.0
Chicago,Etech Hi Inc.,"$71,000 a year",Create annual/quarterly reports to monitor data quality and provide descriptive reports on datasets. Provide statistical consulting for the development and...,Statistician,71000.0
Chicago,Workbridge Associates,"$140,000 - $180,000 a year",A brand new startup moving its headquarters right downtown is looking for a Lead Data Scientist to join their team....,Lead Data Scientist,160000.0
Chicago,Workbridge Associates,"$100,000 - $140,000 a year","Hadoop/Hive/Pig Big data Experience. A non-profit research and development organization in Des Plaines which develops, demonstrates, and licenses new energy...","Senior Data Scientist (Python, R) in Des Plaines",120000.0
Chicago,CREhire.com,"$138,300 a year",Categorical Data Analysis. Statistical Analysis / Data Science:. Identifies and independently resolves data issues (such as missing values and invalid data)....,Principal Statistical Analyst / Data Scientist,138300.0
Chicago,Analytic Recruiting,"$140,000 a year",Take analytical objectives and define data requirements. Analytics Firm seeking a Data Scientist to consult to clients and implement advanced statistical and...,Lead Data Scientist,140000.0
Chicago,NJF Search,"$200,000 a year",Looking for a Research Scientist with a background in Statistical Machine Learning and Bayesian inference to join a high frequency proprietary trading firm in...,"Quantitative Researcher, Machine Learning & Bayesian inferen...",200000.0
Chicago,Jobspring Partners,"$100,000 - $120,000 a year","Data, data science, data engineer, linux, unix, AWS, python, Python analyst, analyst, R, R programing, ETL, Big data, Spark, SQL, Pentaho, Java, Scala, Data...",Data Scientist,110000.0
Chicago,Smith Hanley Associates,"$80,000 - $100,000 a year","Statistical Analyst/Data Scientist. Extract, clean, and transform customer data for analysis and reporting....",Data Scientist,90000.0
Chicago,3coast,"$70,000 - $110,000 a year","Uses sensory data in new product development efforts, when appropriate. Demonstrates strong data evaluation skills with a working knowledge of statistics;...",Product Development Specialist - Food R&D,90000.0
Chicago,Smith Hanley Associates,"$150,000 - $200,000 a year",Experience working with syndicated data and POS data as well as providing BI solutions in a business environment....,(Sr.) Statistical Consultant,175000.0
Chicago,Smith Hanley Associates,"$50,000 - $60,000 a year",Analyze and mine large data sets as well as perform data management and data visualization tasks. Partner with cross-functional teams and drive data driven...,Statistical Analyst,55000.0
Chicago,Workbridge Associates,"$185,000 a year",They need someone with the experience to be hands-on with their data and analytical tools as well as manage and mentor a small team of more junior data...,"Manager of Data Science (Python, R)",185000.0
Chicago,North shore Staffing Group,"$95,000 a year",Business Data Analyst – Mobile Devices to join their Data Sciences team. Works with data scientist and technology team to identify device-related parameters and...,Business Data Analyst,95000.0
Chicago,Workbridge Associates,"$165,000 a year","A major healthcare insurance corporation has been building out a new Data Analytics team in their Chicago office, and they are looking to add a Principal Data...",Principal Data Scientist,165000.0
Chicago,Department Of Veterans Affairs,"$43,915 - $57,090 a year","Organize data, facilitate storage, and retrieval of data forms. Baseline, follow-up data). SAS (Statistical Analysis System), EDC (Electronic Data Capture) to...",Statistical Assistant,50502.5
Chicago,Hirewell,"$120,000 a year",Bring structure to large quantities of data - turn unstructured data into structured data. Data Extraction Tools:....,Data Scientist -Fitness/Wellness Firm,120000.0
Chicago,Analytic Recruiting,"$100,000 - $140,000 a year","Crafting the methodology, to data modeling using tools like SAS / R, and ultimately delivering final insightful recommendations....",Predictive Modeling Director,120000.0
Chicago,Modis,"$45,000 - $55,000 a year","SQL background to extract data. Producing formal reports to collect data on monthly, quarterly and annual trends....",Statistical Data Analyst // Exciting Long-term Contract in N...,50000.0
Chicago,Food Management Search,"$75,000 - $95,000 a year","Data, drawing conclusions, documenting,. A technical leadership role providing direction....",Food Scientist MS or PhD - Meat Products,85000.0
Chicago,NJF Search,"$170,000 a year","Each team has trading strats (TS) who are a mix between data scientist, programmer and trader. _Head-quartered in Chicago and with an office in San Francisco...",High Frequency Strategy Engineer,170000.0
Chicago,Jobspring Partners,"$80,000 - $100,000 a year","Data, Engineer, Scientist, Big Data, Hadoop, Hive, Pig, Spark, Storm, AWS, Cloud, Java, Python, Agile, Startup, Chicago, Full-time....",Data Engineer,90000.0
Chicago,Real Staffing,$100 - $140 a day,Candidate is responsible to provide Big Data related support predictive analytics team and team of data scientists....,IT Solution Architect,
Chicago,RealIT,$100 - $140 a day,Candidate is responsible to provide Big Data related support predictive analytics team and team of data scientists....,IT Solution Architect,
Chicago,ITStaff Technical Resources,"$85,000 a year","Working with data scientists on optimal data structures, analytics and automation of data ingestion. Be familiar with data transformation, transport, reporting,...",Technical Project Manager/Business Analyst,85000.0
Chicago,Workbridge Associates,"$130,000 a year",Hiring for a Senior Data Scientist for a major healthcare corporation that is building out a new data analytics team in Chicago....,Senior Data Scientist (Deep Learning or NLP),130000.0
Chicago,Workbridge Associates,"$180,000 a year","Big Data with Hadoop, Hive, Impala. Mid, Senior, Lead, Data, Scientist, Machine, Learning, Predictive, Analytics, Engineer, Developer, Python, R, Hadoop, Hive,...",Director of Data Science,180000.0
Chicago,Selby Jennings,"$125,000 - $150,000 a year","Equity Research Analyst – Biotech - Chicago, IL Selby Jennings’ client, a boutique asset management firm, is looking to add an Equity Research Analyst who","Equity Research Analyst – Biotech - Chicago, IL",137500.0
Chicago,Workbridge Associates,"$110,000 - $150,000 a year",This agile team will create and develop new solutions to help efficiently analyze and interpret massive data streams as the work itself lives in the continuous...,Senior Java Computer Scientist,130000.0
Chicago,Workbridge Associates,"$170,000 a year","Big Data with Hadoop, Hive, Impala. Mid, Senior, Lead, Director, Data, Scientist, Science, Machine, Learning, Predictive, Analytics, Engineer, Developer, Python...",Director of Data Analytics,170000.0
Chicago,Clinical Management Consultants,"$71,384 - $93,274 a year","Manager Health Information Management Data Analysis HIM Job in Chicago IL. Manager Health Information Management, Manager HIM, Manager Coding, Manager Data...",Manager Health Information Management Data Analysis HIM,82329.0
Chicago,Jobspring Partners,"$60,000 - $120,000 a year",NET Visual Studio big data bigdata analytics distributed computing parallel data scientist Microsoft cloud SAAS C# OOP algorithms data structures design...,Mid-Level C# .NET Software Engineer,90000.0
Dallas,Analytic Recruiting,"$90,000 - $170,000 a year","Data Scientist, Supply Chain sought by Fortune 500 company to be part of a leading-edge predictive and prescriptive analytics....",Principal Data Scientist - Supply Chain,130000.0
Dallas,Steele Careers,"$56,000 - $60,000 a year","As the Data Analyst you will:. Data Analyst Market - Research Analyst. Be responsible for monitoring master data in a business system platform(SAP), you will...",Data Analyst Market - Research Analyst,58000.0
Dallas,Analytic Recruiting,"$140,000 - $190,000 a year","Fortune 500 company seeks Senior Manager Supply Chain Analytics to build and lead a team of advanced analytics composed of senior data scientists, data...",Senior Manager Supply Chain Analytics,165000.0
Dallas,Aquent Staffing,"$70,000 - $80,000 a year","You will interface with a variety of people including data architects,data scientists, email marketers,. Ability to analyze data and identify new opportunities....",Customer Intelligence Analyst,75000.0
Dallas,Liquid Analytics,"$80,000 a year",Expert in the use of Open APIs and microservices design patterns as well as a proven ability to implement complex algorithms and data structures....,"Software Engineer, Cloud",80000.0
Dallas,Workbridge Associates,"$100,000 - $125,000 a year","A quickly company in Addison, Texas is looking for a talented React.js Developer to join their team! Their product is a one of a kind platform using cutting",React.js Developer - Machine Learning,112500.0
Dallas,3coast,"$80,000 - $200,000 a year",VP - Predictive Modeling / Data Scientist. Handle missing data through an algorithmic approach such as multiple imputations to enable insights in sparse and...,VP - Predictive Modeling / Data Scientist,140000.0
Dallas,North shore Staffing Group,"$95,000 a year",Business Data Analyst – Mobile Devices to join their Data Sciences team. Works with data scientist and technology team to identify device-related parameters and...,Business Data Analyst,95000.0
Dallas,Boy Scouts of America,"$65,000 a year","Identifies, monitors, provides analysis, and interprets collected data. Ability to work with and decipher large amounts of data....",Senior Research Analyst,65000.0
Dallas,Liquid Analytics,"$70,000 a year",You are a true Software Engineer Computer Scientist. The candidate has a strong math and data background. You have strong Cloud DevOps skills including data...,"Software Engineer, Java",70000.0
Dallas,All-In Analytics,"$95,000 - $105,000 a year","SAS, SQL, Data Mining, Credit Risk Analysis, Insights, Credit Risk Modeling, Statistical Modeling, Mathematical Modeling, Credit Origination Modeling, Customer...",Sr. Risk Statistician,100000.0
Dallas,"Riccione Resources, Inc.","$70,000 - $100,000 a year",Work with Smart Intelligence and novel data aggregation techniques to cut down the amount of time it takes to turn web-scale data resources into valuable...,"SR. SOFTWARE ENGINEER - JAVA, BIG DATA, MACHINE LEARNING",85000.0
San+Diego,"TrendSource, Inc.","$41,600 a year",Dedication to both data intergrity and accuracy and the ethical use of said data. Experience with graphic design and data visualization....,Research Analyst,41600.0
