,NEIGHBORHOOD,VERTEX TYPE,LATITUDE,LONGITUDE,POINTORDER,POLYGON NUMBER
48,Bernal Heights,START,37.749271,-122.403412,1,3
49,Bernal Heights,INTERIOR,37.749035,-122.405724,2,3
50,Bernal Heights,INTERIOR,37.748253,-122.407951,3,3
51,Bernal Heights,INTERIOR,37.747711,-122.424782,4,3
52,Bernal Heights,INTERIOR,37.740009,-122.42392,5,3
53,Bernal Heights,INTERIOR,37.73827,-122.42453,6,3
54,Bernal Heights,INTERIOR,37.735901,-122.426239,7,3
55,Bernal Heights,INTERIOR,37.731892,-122.4356,8,3
56,Bernal Heights,INTERIOR,37.73148,-122.434052,9,3
57,Bernal Heights,INTERIOR,37.732101,-122.431908,10,3
58,Bernal Heights,INTERIOR,37.731892,-122.427788,11,3
59,Bernal Heights,INTERIOR,37.731152,-122.42453,12,3
60,Bernal Heights,INTERIOR,37.73196,-122.419289,13,3
61,Bernal Heights,INTERIOR,37.732029,-122.414139,14,3
62,Bernal Heights,INTERIOR,37.735149,-122.40667,15,3
63,Bernal Heights,INTERIOR,37.737801,-122.407791,16,3
64,Bernal Heights,INTERIOR,37.742142,-122.407021,17,3
65,Bernal Heights,INTERIOR,37.744179,-122.405212,18,3
66,Bernal Heights,INTERIOR,37.749271,-122.403412,19,3
67,Chinatown,START,37.797405,-122.410294,1,4
68,Chinatown,INTERIOR,37.790115,-122.408791,2,4
69,Chinatown,INTERIOR,37.79076,-122.404053,3,4
70,Chinatown,INTERIOR,37.798019,-122.40551,4,4
71,Chinatown,INTERIOR,37.797405,-122.410294,5,4
72,Civic Center,START,37.782333,-122.417282,1,5
73,Civic Center,INTERIOR,37.781654,-122.422218,2,5
74,Civic Center,INTERIOR,37.778851,-122.421677,3,5
75,Civic Center,INTERIOR,37.778648,-122.423317,4,5
76,Civic Center,INTERIOR,37.772678,-122.421951,5,5
77,Civic Center,INTERIOR,37.780411,-122.412338,6,5
78,Civic Center,INTERIOR,37.780891,-122.412682,7,5
79,Civic Center,INTERIOR,37.780281,-122.41687,8,5
80,Civic Center,INTERIOR,37.782333,-122.417282,9,5
81,Cole Valley,START,37.758228,-122.451385,1,6
82,Cole Valley,INTERIOR,37.759315,-122.447266,2,6
83,Cole Valley,INTERIOR,37.765083,-122.448303,3,6
84,Cole Valley,INTERIOR,37.765152,-122.447365,4,6
85,Cole Valley,INTERIOR,37.768814,-122.448395,5,6
86,Cole Valley,INTERIOR,37.768204,-122.453285,6,6
87,Cole Valley,INTERIOR,37.766373,-122.452942,7,6
88,Cole Valley,INTERIOR,37.765831,-122.457916,8,6
89,Cole Valley,INTERIOR,37.764812,-122.457748,9,6
90,Cole Valley,INTERIOR,37.764881,-122.456635,10,6
91,Cole Valley,INTERIOR,37.761147,-122.455933,11,6
92,Cole Valley,INTERIOR,37.761215,-122.451912,12,6
93,Cole Valley,INTERIOR,37.758228,-122.451385,13,6
94,Cow Hollow,START,37.798527,-122.447266,1,7
95,Cow Hollow,INTERIOR,37.794697,-122.446671,2,7
96,Cow Hollow,INTERIOR,37.79768,-122.423798,3,7
97,Cow Hollow,INTERIOR,37.801441,-122.424484,4,7
98,Cow Hollow,INTERIOR,37.798527,-122.447266,5,7
99,Diamond Heights,START,37.746929,-122.444778,1,8
100,Diamond Heights,INTERIOR,37.745472,-122.451477,2,8
101,Diamond Heights,INTERIOR,37.743095,-122.449631,3,8
102,Diamond Heights,INTERIOR,37.742687,-122.448601,4,8
103,Diamond Heights,INTERIOR,37.742317,-122.446457,5,8
104,Diamond Heights,INTERIOR,37.741127,-122.445938,6,8
105,Diamond Heights,INTERIOR,37.740723,-122.444435,7,8
106,Diamond Heights,INTERIOR,37.739975,-122.443924,8,8
107,Diamond Heights,INTERIOR,37.739803,-122.442589,9,8
108,Diamond Heights,INTERIOR,37.739227,-122.442421,10,8
109,Diamond Heights,INTERIOR,37.738243,-122.442551,11,8
110,Diamond Heights,INTERIOR,37.737156,-122.442291,12,8
111,Diamond Heights,INTERIOR,37.736477,-122.443748,13,8
112,Diamond Heights,INTERIOR,37.73597,-122.443962,14,8
113,Diamond Heights,INTERIOR,37.735561,-122.443367,15,8
114,Diamond Heights,INTERIOR,37.735901,-122.441864,16,8
115,Diamond Heights,INTERIOR,37.735428,-122.440788,17,8
116,Diamond Heights,INTERIOR,37.734749,-122.440147,18,8
117,Diamond Heights,INTERIOR,37.734715,-122.439758,19,8
118,Diamond Heights,INTERIOR,37.737667,-122.43959,20,8
119,Diamond Heights,INTERIOR,37.738209,-122.439934,21,8
120,Diamond Heights,INTERIOR,37.73875,-122.439461,22,8
121,Diamond Heights,INTERIOR,37.738277,-122.437401,23,8
122,Diamond Heights,INTERIOR,37.738819,-122.436584,24,8
123,Diamond Heights,INTERIOR,37.739906,-122.435936,25,8
124,Diamond Heights,INTERIOR,37.742283,-122.435936,26,8
125,Diamond Heights,INTERIOR,37.745438,-122.440102,27,8
126,Diamond Heights,INTERIOR,37.746693,-122.440231,28,8
127,Diamond Heights,INTERIOR,37.747234,-122.441048,29,8
128,Diamond Heights,INTERIOR,37.74649,-122.443619,30,8
129,Diamond Heights,INTERIOR,37.746929,-122.444778,31,8
130,Dogpatch,START,37.74818,-122.385902,1,9
131,Dogpatch,INTERIOR,37.760601,-122.387283,2,9
132,Dogpatch,INTERIOR,37.763721,-122.386162,3,9
133,Dogpatch,INTERIOR,37.766029,-122.38607,4,9
134,Dogpatch,INTERIOR,37.76725,-122.385559,5,9
135,Dogpatch,INTERIOR,37.766571,-122.394493,6,9
136,Dogpatch,INTERIOR,37.763859,-122.392601,7,9
137,Dogpatch,INTERIOR,37.75531,-122.392174,8,9
138,Dogpatch,INTERIOR,37.752659,-122.39122,9,9
139,Dogpatch,INTERIOR,37.749817,-122.392075,10,9
140,Dogpatch,INTERIOR,37.748589,-122.392769,11,9
141,Dogpatch,INTERIOR,37.747639,-122.390106,12,9
142,Dogpatch,INTERIOR,37.74818,-122.385902,13,9
143,Downtown,START,37.789776,-122.410454,1,10
144,Downtown,INTERIOR,37.783264,-122.408997,2,10
145,Downtown,INTERIOR,37.787876,-122.403328,3,10
146,Downtown,INTERIOR,37.790726,-122.404015,4,10
147,Downtown,INTERIOR,37.789776,-122.410454,5,10
148,Duboce Triangle,START,37.76907,-122.435722,1,11
149,Duboce Triangle,INTERIOR,37.762775,-122.435165,2,11
150,Duboce Triangle,INTERIOR,37.769562,-122.426476,3,11
151,Duboce Triangle,INTERIOR,37.76907,-122.435722,4,11
152,Excelsior,START,37.731762,-122.428047,1,12
153,Excelsior,INTERIOR,37.724834,-122.434662,2,12
154,Excelsior,INTERIOR,37.716282,-122.440926,3,12
155,Excelsior,INTERIOR,37.712887,-122.433197,4,12
156,Excelsior,INTERIOR,37.716488,-122.430969,5,12
157,Excelsior,INTERIOR,37.715874,-122.42659,6,12
158,Excelsior,INTERIOR,37.721985,-122.424187,7,12
159,Excelsior,INTERIOR,37.722324,-122.424873,8,12
160,Excelsior,INTERIOR,37.72382,-122.423676,9,12
161,Excelsior,INTERIOR,37.724091,-122.421783,10,12
162,Excelsior,INTERIOR,37.728436,-122.423676,11,12
163,Excelsior,INTERIOR,37.728909,-122.419121,12,12
164,Excelsior,INTERIOR,37.731831,-122.418777,13,12
165,Excelsior,INTERIOR,37.731014,-122.424271,14,12
166,Excelsior,INTERIOR,37.731762,-122.428047,15,12
167,Financial District,START,37.798901,-122.398262,1,13
168,Financial District,INTERIOR,37.798084,-122.405426,2,13
169,Financial District,INTERIOR,37.787605,-122.40332,3,13
170,Financial District,INTERIOR,37.794323,-122.395126,4,13
171,Financial District,INTERIOR,37.795609,-122.396805,5,13
172,Financial District,INTERIOR,37.798527,-122.397614,6,13
173,Financial District,INTERIOR,37.798901,-122.398262,7,13
174,Fisherman's Wharf,START,37.806664,-122.425682,1,14
175,Fisherman's Wharf,INTERIOR,37.804222,-122.425041,2,14
176,Fisherman's Wharf,INTERIOR,37.806564,-122.406029,3,14
177,Fisherman's Wharf,INTERIOR,37.80724,-122.406502,4,14
178,Fisherman's Wharf,INTERIOR,37.808224,-122.409248,5,14
179,Fisherman's Wharf,INTERIOR,37.808735,-122.412895,6,14
180,Fisherman's Wharf,INTERIOR,37.809006,-122.416245,7,14
181,Fisherman's Wharf,INTERIOR,37.808292,-122.416367,8,14
182,Fisherman's Wharf,INTERIOR,37.807919,-122.420105,9,14
183,Fisherman's Wharf,INTERIOR,37.808327,-122.420319,10,14
184,Fisherman's Wharf,INTERIOR,37.808292,-122.421219,11,14
185,Fisherman's Wharf,INTERIOR,37.806732,-122.423706,12,14
186,Fisherman's Wharf,INTERIOR,37.806664,-122.425682,13,14
187,Glen Park,START,37.742317,-122.424301,1,15
188,Glen Park,INTERIOR,37.741978,-122.43589,2,15
189,Glen Park,INTERIOR,37.739971,-122.435768,3,15
190,Glen Park,INTERIOR,37.738071,-122.437141,4,15
191,Glen Park,INTERIOR,37.738682,-122.439293,5,15
192,Glen Park,INTERIOR,37.73793,-122.439888,6,15
193,Glen Park,INTERIOR,37.737251,-122.439461,7,15
194,Glen Park,INTERIOR,37.734539,-122.439552,8,15
195,Glen Park,INTERIOR,37.735291,-122.440659,9,15
196,Glen Park,INTERIOR,37.735828,-122.441948,10,15
197,Glen Park,INTERIOR,37.735489,-122.443497,11,15
198,Glen Park,INTERIOR,37.731419,-122.443497,12,15
199,Glen Park,INTERIOR,37.73148,-122.439377,13,15
200,Glen Park,INTERIOR,37.729919,-122.439201,14,15
201,Glen Park,INTERIOR,37.731758,-122.435509,15,15
202,Glen Park,INTERIOR,37.735901,-122.426407,16,15
203,Glen Park,INTERIOR,37.73827,-122.424438,17,15
204,Glen Park,INTERIOR,37.74004,-122.423927,18,15
205,Glen Park,INTERIOR,37.742317,-122.424301,19,15
206,Haight-Ashbury,START,37.771088,-122.453789,1,16
207,Haight-Ashbury,INTERIOR,37.768238,-122.453278,2,16
208,Haight-Ashbury,INTERIOR,37.768814,-122.448341,3,16
209,Haight-Ashbury,INTERIOR,37.765186,-122.447571,4,16
210,Haight-Ashbury,INTERIOR,37.76498,-122.448555,5,16
211,Haight-Ashbury,INTERIOR,37.761757,-122.447609,6,16
212,Haight-Ashbury,INTERIOR,37.761894,-122.445122,7,16
213,Haight-Ashbury,INTERIOR,37.763386,-122.443489,8,16
214,Haight-Ashbury,INTERIOR,37.763454,-122.442802,9,16
215,Haight-Ashbury,INTERIOR,37.764572,-122.442894,10,16
216,Haight-Ashbury,INTERIOR,37.765083,-122.442291,11,16
217,Haight-Ashbury,INTERIOR,37.765457,-122.440834,12,16
218,Haight-Ashbury,INTERIOR,37.765625,-122.435341,13,16
219,Haight-Ashbury,INTERIOR,37.769188,-122.435593,14,16
220,Haight-Ashbury,INTERIOR,37.770309,-122.436882,15,16
221,Haight-Ashbury,INTERIOR,37.77319,-122.437309,16,16
222,Haight-Ashbury,INTERIOR,37.771088,-122.453789,17,16
223,Hayes Valley,START,37.778721,-122.423355,1,17
224,Hayes Valley,INTERIOR,37.778042,-122.428162,2,17
225,Hayes Valley,INTERIOR,37.770645,-122.426788,3,17
226,Hayes Valley,INTERIOR,37.769493,-122.42662,4,17
227,Hayes Valley,INTERIOR,37.770782,-122.424782,5,17
228,Hayes Valley,INTERIOR,37.772903,-122.422157,6,17
229,Hayes Valley,INTERIOR,37.778721,-122.423355,7,17
230,Inner Sunset,START,37.765961,-122.457588,1,18
231,Inner Sunset,INTERIOR,37.766102,-122.458794,2,18
232,Inner Sunset,INTERIOR,37.765152,-122.477135,3,18
233,Inner Sunset,INTERIOR,37.748589,-122.475777,4,18
234,Inner Sunset,INTERIOR,37.748451,-122.473717,5,18
235,Inner Sunset,INTERIOR,37.746689,-122.473381,6,18
236,Inner Sunset,INTERIOR,37.746891,-122.470428,7,18
237,Inner Sunset,INTERIOR,37.74316,-122.470428,8,18
238,Inner Sunset,INTERIOR,37.743301,-122.467598,9,18
239,Inner Sunset,INTERIOR,37.746552,-122.467369,10,18
240,Inner Sunset,INTERIOR,37.750759,-122.464111,11,18
241,Inner Sunset,INTERIOR,37.753479,-122.464622,12,18
242,Inner Sunset,INTERIOR,37.75375,-122.463249,13,18
243,Inner Sunset,INTERIOR,37.75185,-122.459473,14,18
244,Inner Sunset,INTERIOR,37.752121,-122.455704,15,18
245,Inner Sunset,INTERIOR,37.753479,-122.455872,16,18
246,Inner Sunset,INTERIOR,37.757408,-122.45295,17,18
247,Inner Sunset,INTERIOR,37.758228,-122.451233,18,18
248,Inner Sunset,INTERIOR,37.761082,-122.451752,19,18
249,Inner Sunset,INTERIOR,37.761211,-122.455704,20,18
250,Inner Sunset,INTERIOR,37.76474,-122.456383,21,18
251,Inner Sunset,INTERIOR,37.764599,-122.457932,22,18
252,Inner Sunset,INTERIOR,37.765961,-122.457588,23,18
253,Japantown,START,37.786129,-122.433243,1,19
254,Japantown,INTERIOR,37.784248,-122.432777,2,19
255,Japantown,INTERIOR,37.785049,-122.428017,3,19
256,Japantown,INTERIOR,37.786751,-122.428383,4,19
257,Japantown,INTERIOR,37.786129,-122.433243,5,19
258,Lower Haight,START,37.774719,-122.437653,1,20
259,Lower Haight,INTERIOR,37.770206,-122.43679,2,20
260,Lower Haight,INTERIOR,37.769119,-122.435677,3,20
261,Lower Haight,INTERIOR,37.769527,-122.426659,4,20
262,Lower Haight,INTERIOR,37.776245,-122.427864,5,20
263,Lower Haight,INTERIOR,37.774853,-122.437653,6,20
264,Marina District,START,37.801579,-122.424568,1,21
265,Marina District,INTERIOR,37.804428,-122.425255,2,21
266,Marina District,INTERIOR,37.80341,-122.431908,3,21
267,Marina District,INTERIOR,37.805309,-122.432205,4,21
268,Marina District,INTERIOR,37.805073,-122.433792,5,21
269,Marina District,INTERIOR,37.806767,-122.436501,6,21
270,Marina District,INTERIOR,37.805038,-122.448082,7,21
271,Marina District,INTERIOR,37.803612,-122.449974,8,21
272,Marina District,INTERIOR,37.802425,-122.449585,9,21
273,Marina District,INTERIOR,37.801411,-122.447784,10,21
274,Marina District,INTERIOR,37.798595,-122.447266,11,21
275,Marina District,INTERIOR,37.801579,-122.424568,12,21
276,Mission Bay,START,37.781841,-122.39637,1,22
277,Mission Bay,INTERIOR,37.775188,-122.405731,2,22
278,Mission Bay,INTERIOR,37.773361,-122.406593,3,22
279,Mission Bay,INTERIOR,37.76569,-122.404961,4,22
280,Mission Bay,INTERIOR,37.767288,-122.385551,5,22
281,Mission Bay,INTERIOR,37.768951,-122.384697,6,22
282,Mission Bay,INTERIOR,37.773628,-122.386681,7,22
283,Mission Bay,INTERIOR,37.77668,-122.387192,8,22
284,Mission Bay,INTERIOR,37.776749,-122.389847,9,22
285,Mission Bay,INTERIOR,37.781841,-122.39637,10,22
286,Mission District,START,37.77166,-122.423317,1,23
287,Mission District,INTERIOR,37.765759,-122.430878,2,23
288,Mission District,INTERIOR,37.756329,-122.429764,3,23
289,Mission District,INTERIOR,37.756531,-122.425468,4,23
290,Mission District,INTERIOR,37.747768,-122.424782,5,23
291,Mission District,INTERIOR,37.748322,-122.407951,6,23
292,Mission District,INTERIOR,37.749035,-122.405724,7,23
293,Mission District,INTERIOR,37.749237,-122.403358,8,23
294,Mission District,INTERIOR,37.753681,-122.402809,9,23
295,Mission District,INTERIOR,37.75415,-122.402412,10,23
296,Mission District,INTERIOR,37.75687,-122.40358,11,23
297,Mission District,INTERIOR,37.75951,-122.406097,12,23
298,Mission District,INTERIOR,37.760399,-122.406326,13,23
299,Mission District,INTERIOR,37.763649,-122.404793,14,23
300,Mission District,INTERIOR,37.767792,-122.405388,15,23
301,Mission District,INTERIOR,37.76857,-122.406868,16,23
302,Mission District,INTERIOR,37.769291,-122.410278,17,23
303,Mission District,INTERIOR,37.769619,-122.416634,18,23
304,Mission District,INTERIOR,37.770241,-122.42144,19,23
305,Mission District,INTERIOR,37.77166,-122.423317,20,23
306,Mission Terrace,START,37.731762,-122.42762,1,24
307,Mission Terrace,INTERIOR,37.725243,-122.434402,2,24
308,Mission Terrace,INTERIOR,37.716282,-122.44101,3,24
309,Mission Terrace,INTERIOR,37.717369,-122.441696,4,24
310,Mission Terrace,INTERIOR,37.720219,-122.445389,5,24
311,Mission Terrace,INTERIOR,37.721104,-122.447792,6,24
312,Mission Terrace,INTERIOR,37.724499,-122.447105,7,24
313,Mission Terrace,INTERIOR,37.728027,-122.443756,8,24
314,Mission Terrace,INTERIOR,37.731354,-122.435257,9,24
315,Mission Terrace,INTERIOR,37.732235,-122.43174,10,24
316,Mission Terrace,INTERIOR,37.731762,-122.42762,11,24
317,Nob Hill,START,37.797405,-122.410271,1,25
318,Nob Hill,INTERIOR,37.795712,-122.42334,2,25
319,Nob Hill,INTERIOR,37.788486,-122.421921,3,25
320,Nob Hill,INTERIOR,37.790134,-122.408768,4,25
321,Nob Hill,INTERIOR,37.797405,-122.410271,5,25
322,Noe Valley,START,37.7565,-122.425591,1,26
323,Noe Valley,INTERIOR,37.756458,-122.429802,2,26
324,Noe Valley,INTERIOR,37.755482,-122.441299,3,26
325,Noe Valley,INTERIOR,37.754929,-122.441597,4,26
326,Noe Valley,INTERIOR,37.746819,-122.444733,5,26
327,Noe Valley,INTERIOR,37.74638,-122.443573,6,26
328,Noe Valley,INTERIOR,37.7472,-122.44117,7,26
329,Noe Valley,INTERIOR,37.74662,-122.440178,8,26
330,Noe Valley,INTERIOR,37.74543,-122.440048,9,26
331,Noe Valley,INTERIOR,37.742043,-122.43589,10,26
332,Noe Valley,INTERIOR,37.74231,-122.424217,11,26
333,Noe Valley,INTERIOR,37.7565,-122.425591,12,26
334,North Beach,START,37.797577,-122.406776,1,27
335,North Beach,INTERIOR,37.796764,-122.413818,2,27
336,North Beach,INTERIOR,37.803818,-122.415016,3,27
337,North Beach,INTERIOR,37.805172,-122.417076,4,27
338,North Beach,INTERIOR,37.80558,-122.409355,5,27
339,North Beach,INTERIOR,37.799339,-122.408493,6,27
340,North Beach,INTERIOR,37.797577,-122.406776,7,27
341,Outer Sunset,START,37.765152,-122.477158,1,28
342,Outer Sunset,INTERIOR,37.764065,-122.509773,2,28
343,Outer Sunset,INTERIOR,37.735153,-122.506172,3,28
344,Outer Sunset,INTERIOR,37.735291,-122.50222,4,28
345,Outer Sunset,INTERIOR,37.733253,-122.49604,5,28
346,Outer Sunset,INTERIOR,37.734341,-122.47493,6,28
347,Outer Sunset,INTERIOR,37.737465,-122.475273,7,28
348,Outer Sunset,INTERIOR,37.73719,-122.487114,8,28
349,Outer Sunset,INTERIOR,37.737598,-122.489517,9,28
350,Outer Sunset,INTERIOR,37.736511,-122.493813,10,28
351,Outer Sunset,INTERIOR,37.747711,-122.494743,11,28
352,Outer Sunset,INTERIOR,37.748592,-122.475685,12,28
353,Outer Sunset,INTERIOR,37.737465,-122.475273,13,28
354,Outer Sunset,INTERIOR,37.765152,-122.477158,14,28
355,Pacific Heights,START,37.794697,-122.446709,1,29
356,Pacific Heights,INTERIOR,37.791607,-122.447609,2,29
357,Pacific Heights,INTERIOR,37.787231,-122.4468,3,29
358,Pacific Heights,INTERIOR,37.790421,-122.422424,4,29
359,Pacific Heights,INTERIOR,37.797714,-122.423668,5,29
360,Pacific Heights,INTERIOR,37.797646,-122.424011,6,29
361,Parkside,START,37.747639,-122.494652,1,30
362,Parkside,INTERIOR,37.736301,-122.493958,2,30
363,Parkside,INTERIOR,37.73753,-122.48941,3,30
364,Parkside,INTERIOR,37.737122,-122.486931,4,30
365,Parkside,INTERIOR,37.737591,-122.470688,5,30
366,Parkside,INTERIOR,37.738415,-122.469749,6,30
367,Parkside,INTERIOR,37.74683,-122.470436,7,30
368,Parkside,INTERIOR,37.746819,-122.473351,8,30
369,Parkside,INTERIOR,37.748322,-122.473686,9,30
370,Parkside,INTERIOR,37.748589,-122.475769,10,30
371,Parkside,INTERIOR,37.747639,-122.494652,11,30
372,Portola,START,37.73481,-122.40667,1,31
373,Portola,INTERIOR,37.732029,-122.414307,2,31
374,Portola,INTERIOR,37.731762,-122.418854,3,31
375,Portola,INTERIOR,37.728977,-122.419197,4,31
376,Portola,INTERIOR,37.728359,-122.423668,5,31
377,Portola,INTERIOR,37.724091,-122.421768,6,31
378,Portola,INTERIOR,37.723885,-122.42366,7,31
379,Portola,INTERIOR,37.722191,-122.424858,8,31
380,Portola,INTERIOR,37.721916,-122.424088,9,31
381,Portola,INTERIOR,37.719948,-122.42495,10,31
382,Portola,INTERIOR,37.719131,-122.419456,11,31
383,Portola,INTERIOR,37.718182,-122.414734,12,31
384,Portola,INTERIOR,37.718929,-122.410789,13,31
385,Portola,INTERIOR,37.72184,-122.400414,14,31
386,Portola,INTERIOR,37.729309,-122.403328,15,31
387,Portola,INTERIOR,37.73481,-122.40667,16,31
388,Potrero Hill,START,37.749882,-122.392174,1,32
389,Potrero Hill,INTERIOR,37.75259,-122.391144,2,32
390,Potrero Hill,INTERIOR,37.75531,-122.39225,3,32
391,Potrero Hill,INTERIOR,37.763996,-122.392632,4,32
392,Potrero Hill,INTERIOR,37.766575,-122.394646,5,32
393,Potrero Hill,INTERIOR,37.765759,-122.405128,6,32
394,Potrero Hill,INTERIOR,37.763378,-122.404869,7,32
395,Potrero Hill,INTERIOR,37.76046,-122.406326,8,32
396,Potrero Hill,INTERIOR,37.75951,-122.406067,9,32
397,Potrero Hill,INTERIOR,37.756329,-122.403236,10,32
398,Potrero Hill,INTERIOR,37.754219,-122.40255,11,32
399,Potrero Hill,INTERIOR,37.751781,-122.402901,12,32
400,Potrero Hill,INTERIOR,37.749062,-122.403412,13,32
401,Potrero Hill,INTERIOR,37.749882,-122.392174,14,32
402,Presidio Heights,START,37.791599,-122.447533,1,33
403,Presidio Heights,INTERIOR,37.789032,-122.462708,2,33
404,Presidio Heights,INTERIOR,37.787266,-122.462883,3,33
405,Presidio Heights,INTERIOR,37.786995,-122.45945,4,33
406,Presidio Heights,INTERIOR,37.78109,-122.458603,5,33
407,Presidio Heights,INTERIOR,37.782108,-122.447609,6,33
408,Presidio Heights,INTERIOR,37.78299,-122.447006,7,33
409,Presidio Heights,INTERIOR,37.785301,-122.447357,8,33
410,Presidio Heights,INTERIOR,37.786518,-122.446579,9,33
411,Presidio Heights,INTERIOR,37.791599,-122.447533,10,33
412,Richmond District,START,37.786793,-122.459976,1,34
413,Richmond District,INTERIOR,37.786724,-122.462471,2,34
414,Richmond District,INTERIOR,37.789371,-122.462555,3,34
415,Richmond District,INTERIOR,37.788284,-122.465813,4,34
416,Richmond District,INTERIOR,37.786995,-122.465813,5,34
417,Richmond District,INTERIOR,37.786655,-122.478951,6,34
418,Richmond District,INTERIOR,37.78754,-122.484184,7,34
419,Richmond District,INTERIOR,37.787403,-122.487358,8,34
420,Richmond District,INTERIOR,37.783672,-122.487099,9,34
421,Richmond District,INTERIOR,37.783604,-122.49234,10,34
422,Richmond District,INTERIOR,37.781433,-122.492424,11,34
423,Richmond District,INTERIOR,37.780685,-122.50985,12,34
424,Richmond District,INTERIOR,37.77906,-122.509247,13,34
425,Richmond District,INTERIOR,37.775124,-122.508987,14,34
426,Richmond District,INTERIOR,37.774921,-122.510788,15,34
427,Richmond District,INTERIOR,37.771191,-122.510788,16,34
428,Richmond District,INTERIOR,37.77248,-122.47998,17,34
429,Richmond District,INTERIOR,37.773293,-122.464439,18,34
430,Richmond District,INTERIOR,37.775871,-122.446587,19,34
431,Richmond District,INTERIOR,37.782383,-122.447708,20,34
432,Richmond District,INTERIOR,37.781433,-122.4562,21,34
433,Richmond District,INTERIOR,37.781162,-122.458778,22,34
434,Richmond District,INTERIOR,37.786724,-122.459122,23,34
435,Richmond District,INTERIOR,37.786793,-122.459976,24,34
436,Russian Hill,START,37.795815,-122.422913,1,35
437,Russian Hill,INTERIOR,37.797035,-122.413986,2,35
438,Russian Hill,INTERIOR,37.804089,-122.414505,3,35
439,Russian Hill,INTERIOR,37.805309,-122.416908,4,35
440,Russian Hill,INTERIOR,37.804089,-122.424973,5,35
441,Russian Hill,INTERIOR,37.795815,-122.422913,6,35
442,SoMa,START,37.795273,-122.393974,1,36
443,SoMa,INTERIOR,37.771664,-122.423332,2,36
444,SoMa,INTERIOR,37.770241,-122.421524,3,36
445,SoMa,INTERIOR,37.769764,-122.415604,4,36
446,SoMa,INTERIOR,37.769424,-122.41037,5,36
447,SoMa,INTERIOR,37.768951,-122.408554,6,36
448,SoMa,INTERIOR,37.771259,-122.405807,7,36
449,SoMa,INTERIOR,37.772274,-122.406403,8,36
450,SoMa,INTERIOR,37.77404,-122.406921,9,36
451,SoMa,INTERIOR,37.775059,-122.405975,10,36
452,SoMa,INTERIOR,37.781975,-122.396896,11,36
453,SoMa,INTERIOR,37.78883,-122.388054,12,36
454,SoMa,INTERIOR,37.791336,-122.390541,13,36
455,SoMa,INTERIOR,37.792694,-122.39106,14,36
456,SoMa,INTERIOR,37.795273,-122.393974,15,36
